#Rperp (kpc)  z_DLA
  35.6   2.75877
 175.6   2.58793
  97.5   2.12990
 164.7   2.07593
 202.1   1.78820
 244.8   2.19860
  89.3   2.68874
  54.0   2.03572
  54.5   1.60723
 240.7   2.25198
  91.5   2.72677
 193.0   2.04454
  79.3   2.56408
  77.8   2.78217
   7.5   1.97830
 240.9   2.79502
 232.3   2.19625
  62.7   1.96682
 114.2   2.66270
  60.5   2.00063
  77.5   2.34610
  26.1   2.39644
  24.9   3.09694
  25.2   2.97887
 142.0   1.88163
  67.5   2.76528
  70.3   2.24969
 134.4   2.08596
 158.0   2.62613
  86.3   2.07736
  49.6   3.32992
 231.2   2.42660
 210.1   1.78449
  84.4   1.61703
 259.7   3.54960
 187.6   3.18047
 127.3   2.01900
  32.8   2.13902
 107.9   2.10624
 121.3   1.85306
