#1.4600 <= z < 1.6100
#   Wlo    Whi  f(X,W)    Errlo    Errhi
  0.05   0.29  4.9124   3.2770  15.8747
  0.29   0.39  2.1834   0.7353   1.0845
  0.39   0.45  1.7415   0.4231   0.4426
  0.45   0.51  1.2159   0.2552   0.2716
  0.51   0.58  0.8707   0.1653   0.1778
  0.58   0.65  0.6561   0.1167   0.1264
  0.65   0.71  0.6426   0.0997   0.1107
  0.71   0.78  0.5332   0.0822   0.0889
  0.78   0.85  0.4859   0.0719   0.0805
  0.85   0.92  0.4335   0.0646   0.0723
  0.92   1.01  0.3074   0.0460   0.0506
  1.01   1.12  0.2467   0.0362   0.0404
  1.12   1.26  0.1766   0.0258   0.0289
  1.26   1.53  0.0929   0.0135   0.0151
  1.53   3.04  0.0173   0.0025   0.0031

#1.6100 <= z < 1.7000
#   Wlo    Whi  f(X,W)    Errlo    Errhi
  0.07   0.27  4.5654   3.1416   9.1228
  0.27   0.34  2.7096   0.9518   0.9720
  0.34   0.41  1.7720   0.4486   0.4821
  0.41   0.47  1.4049   0.2790   0.3161
  0.47   0.54  1.0654   0.2011   0.2156
  0.54   0.59  0.9608   0.1559   0.1655
  0.59   0.66  0.7547   0.1174   0.1291
  0.66   0.72  0.6227   0.0939   0.1043
  0.72   0.80  0.5088   0.0768   0.0854
  0.80   0.89  0.3831   0.0584   0.0628
  0.89   0.97  0.3948   0.0573   0.0639
  0.97   1.09  0.2549   0.0373   0.0410
  1.09   1.23  0.2172   0.0309   0.0346
  1.23   1.53  0.0937   0.0133   0.0149
  1.53   2.52  0.0285   0.0041   0.0050

#1.7000 <= z < 1.7800
#   Wlo    Whi  f(X,W)    Errlo    Errhi
  0.04   0.24  5.2952   3.9464  12.2506
  0.24   0.33  2.3759   0.8930   1.0145
  0.33   0.40  1.6701   0.4103   0.4631
  0.40   0.45  1.5693   0.2975   0.3181
  0.45   0.51  1.2148   0.2103   0.2282
  0.51   0.56  1.2198   0.1947   0.2126
  0.56   0.61  0.9436   0.1466   0.1620
  0.61   0.67  0.8826   0.1345   0.1471
  0.67   0.73  0.6260   0.0938   0.1044
  0.73   0.82  0.4558   0.0686   0.0760
  0.82   0.90  0.4691   0.0692   0.0767
  0.90   1.02  0.2751   0.0408   0.0448
  1.02   1.21  0.1756   0.0254   0.0284
  1.21   1.42  0.1563   0.0225   0.0253
  1.42   2.51  0.0316   0.0044   0.0055

#1.7800 <= z < 1.8700
#   Wlo    Whi  f(X,W)    Errlo    Errhi
  0.01   0.25  3.7415   2.5576   8.7100
  0.25   0.31  3.2761   0.9756   1.0192
